award_id,Award Details URL,Project Title,Amount,Fiscal Year,Program,Name,Competition Year,Project Lead Name,Institution,Department,Province,Award Amount,Installment,Selection Committee,Research Subject,Area of Application,Co-Researchers,Partners
499324,http://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=499324,NSERC Industrial Research Chair in Aviation Acoustics,"229,282",2012-2013,Industrial Research Chairs,"Atalla, Noureddine",2004,"Atalla, Noureddine",Université de Sherbrooke,Génie mécanique,Québec,"$229,282",4  - 5,University/Industry,"Aerospace, aeronautical and automotive engineering",Aerospace,No Co-Researcher,Bell Helicopter Textron Canada
438189,http://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=438189,NSERC Industrial Research Chair in Aviation Acoustics,"212,437",2009-2010,Industrial Research Chairs,"Atalla, Noureddine",2004,"Atalla, Noureddine",Université de Sherbrooke,Génie mécanique,Québec,"$212,437",2 & 3 - 5,University/Industry,"Aerospace, aeronautical and automotive engineering",Aerospace,No Co-Researcher,Bell Helicopter Textron Canada
540312,http://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=540312,Development of Aerospace Quality Aluminum Alloys Utilizing Advanced Powder Metallurgy Technologies,"201,284",2013-2014,Collaborative Research and Development Grants,"Bishop, Donald",2013,"Bishop, Donald",Dalhousie University,Process Engineering and Applied Science,Nova Scotia,"$201,284",1 - 3,University/Industry,Materials processing,Aerospace,"Doman, Darrel",GKN Sinter Metals Inc.
551293,http://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=551293,Morphing architectures and related technologies for wing efficiency improvement,"280,100",2014-2015,Collaborative Research and Development Grants,"Botez, Ruxandra",2011,"Botez, Ruxandra",École de technologie supérieure,Génie de la production automatisée,Québec,"$280,100",3 - 3,University/Industry,"Aerospace, aeronautical and automotive engineering",Aerospace,"Joncas, Simon",Bombardier Aerospace
531050,http://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=531050,Morphing architectures and related technologies for wing efficiency improvement,"279,600",2013-2014,Collaborative Research and Development Grants,"Botez, Ruxandra",2011,"Botez, Ruxandra",École de technologie supérieure,Génie de la production automatisée,Québec,"$279,600",2 - 3,University/Industry,"Aerospace, aeronautical and automotive engineering",Aerospace,"Joncas, Simon",Bombardier Aerospace
499199,http://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=499199,Morphing architectures and related technologies for wing efficiency improvement,"280,600",2012-2013,Collaborative Research and Development Grants,"Botez, Ruxandra",2011,"Botez, Ruxandra",École de technologie supérieure,Génie de la production automatisée,Québec,"$280,600",1 - 3,University/Industry,"Aerospace, aeronautical and automotive engineering",Aerospace,"Joncas, Simon",Bombardier Aerospace
398289,http://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=398289,Laminar flow improvement on an aeroelastic research wing,"200,000",2008-2009,Collaborative Research and Development Grants,"Botez, Ruxandra",2005,"Botez, Ruxandra",École de technologie supérieure,Génie de la production automatisée,Québec,"$200,000",3 - 3,University/Industry,"Aerospace, aeronautical and automotive engineering",Aerospace,"Brailovski, Vladimir",Bombardier Aerospace
368617,http://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=368617,Laminar flow improvement on an aeroelastic research wing,"200,000",2007-2008,Collaborative Research and Development Grants,"Botez, Ruxandra",2005,"Botez, Ruxandra",École de technologie supérieure,Génie de la production automatisée,Québec,"$200,000",2 - 3,University/Industry,"Aerospace, aeronautical and automotive engineering",Aerospace,"Brailovski, Vladimir",Bombardier Aerospace
325519,http://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=325519,Laminar flow improvement on an aeroelastic research wing,"200,000",2006-2007,Collaborative Research and Development Grants,"Botez, Ruxandra",2005,"Botez, Ruxandra",École de technologie supérieure,Génie de la production automatisée,Québec,"$200,000",1 - 3,University/Industry,"Aerospace, aeronautical and automotive engineering",Aerospace,"Brailovski, Vladimir",Bombardier Aerospace
512017,http://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=512017,Chaire de recherche industrielle dans les collèges du CRSNG en procédés et instrumentation optiques,"200,000",2012-2013,Industrial Research Chairs for Colleges Grants,"Desjarlais, Alain",2012,"Desjarlais, Alain",Cégep André-Laurendeau,Head Office,Québec,"$200,000",1 - 5,Industrial Research Chairs for Colleges Grants,Photonics,Aerospace,No Co-Researcher,CorActive High-Tech Inc.
